"track_name","Artist","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","X.","Popularity","BPM","Genres","Parent.Genres","Album","Album.Date","Time","Dance","Energy","Acoustic","Instrumental","Happy","Speech","Live","Loud","Key","Time.Signature","Added.At","Spotify.Track.Id","Album.Label","Camelot","Spotify.Track.Img","Song.Preview","popularity","average_charting"
"Cruel Summer","Taylor Swift",1,2019,8,23,7858,100,"800840817",116,207,"125",12,"548",170,"A","Major",55,58,72,11,0,11,15,"156","99","170","pop","Pop","Lover","2019-08-23","02:58","55","70","12","0","56","10","10","-6","A Major","4","2023-08-14","1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","11B","","https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647","High Popularity",106
"As It Was","Harry Styles",1,2022,3,31,23575,130,"2513188493",403,198,"863",46,"",174,"F#","Minor",52,66,73,34,0,31,6,"1","91","174","pop","Pop","As It Was","2022-03-31","02:47","52","73","34","0","66","0","30","-5","F#/G♭ Minor","4","2023-08-14","4LRPiXqCikLlN15c3yImP7","Columbia","11A","https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851b46f74097655d7f353caab14","High Popularity",125
"Blank Space","Taylor Swift",1,2014,1,1,11434,53,"1355959075",154,123,"410",2,"81",96,"F","Major",75,57,68,9,0,13,6,"411","91","96","pop","Pop","1989 (Deluxe)","2014-01-01","03:51","76","70","10","0","57","0","0","-5","F Major","4","2023-08-14","1u8c2t2Cy7UBoG4ArRcF5g","Big Machine Records, LLC","7B","","https://i.scdn.co/image/ab67616d0000485152b2a3824413eefe9e33817a","Low Popularity",59
"Style","Taylor Swift",1,2014,1,1,7830,42,"786181836",94,111,"151",4,"82",95,"D","Major",60,48,79,0,0,12,4,"482","91","95","pop","Pop","1989 (Deluxe)","2014-01-01","03:51","59","79","0","0","49","0","10","-6","G Major","4","2023-08-14","0ug5NqcwcFR2xrfTkc7k8e","Big Machine Records, LLC","9B","","https://i.scdn.co/image/ab67616d0000485152b2a3824413eefe9e33817a","Moderate Popularity",52
"I Ain't Worried","OneRepublic",1,2022,5,13,8431,76,"1085685420",241,127,"458",37,"332",140,"","Major",71,82,81,11,0,6,5,"36","93","140","piano rock, pop","Rock, Pop","I Ain’t Worried (Music From The Motion Picture Top Gun: Maverick)","2022-05-13","02:28","70","80","8","0","83","0","0","-6","C Major","4","2023-08-14","4h9wh7iOZ0GGn8QVp4RAOB","Interscope Records","8B","","https://i.scdn.co/image/ab67616d00004851ec96e006b8bdfc582610ec13","Low Popularity",80
"Another Love","Tom Odell",1,2012,10,15,18371,83,"1813673666",250,122,"3,394",19,"",123,"E","Minor",45,13,54,70,0,9,4,"23","91","123","chill pop","Pop","Long Way Down (Deluxe)","2013-06-24","04:04","45","54","70","0","13","0","0","-9","E Minor","4","2023-08-14","3JvKfv6T31zO0ini8iNItO","ITNO/Columbia","9A","https://p.scdn.co/mp3-preview/0369cb748bc968ffd34fb4ac60f5403f2aad032f?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048511917a0f3f4152622a040913f","Low Popularity",75
"Blinding Lights","The Weeknd",1,2019,11,29,43899,69,"3703895074",672,199,"3,421",20,"",171,"C#","Major",50,38,80,0,0,9,7,"27","92","171","canadian contemporary r&b, canadian pop, pop","R&B, Pop","After Hours","2020-03-20","03:20","51","73","0","0","33","0","0","-6","C♯/D♭ Major","4","2023-08-14","0VjIjW4GlUZAMYd2vXMi3b","Republic Records","3B","","https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36","High Popularity",96
"La Bachata","Manuel Turizo",1,2022,5,26,6804,45,"1214083358",139,111,"161",15,"210",125,"G","Minor",84,85,68,58,0,22,4,"38","88","125","colombian pop, reggaeton, reggaeton colombiano, trap latino, urbano latino","Pop, Latin","La Bachata","2022-05-26","02:42","84","68","58","0","85","0","20","-5","G Minor","4","2023-08-14","5ww2BF9slyYgNOk37BlC4u","Sony Music Latin/La Industria","6A","https://p.scdn.co/mp3-preview/0232b53fd7849e6696e1ab3099dd01dd00823f17?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851c9f744b0d62da795bc21d04a","Low Popularity",57
"Heat Waves","Glass Animals",1,2020,6,28,22543,63,"2557975762",386,144,"707",28,"",81,"B","Major",76,53,53,44,0,9,9,"2","91","81","gauze pop, indietronica, modern rock, pov: indie, shiver pop","Pop, Rock","Dreamland","2020-08-07","03:58","76","53","44","0","53","0","0","-7","B Major","4","2023-08-14","3USxtqRwSYz57Ewm6wWRMp","Polydor Records","1B","","https://i.scdn.co/image/ab67616d00004851712701c5e263efc8726b1464","High Popularity",78
"Sweater Weather","The Neighbourhood",1,2012,5,14,16413,61,"2282771485",166,87,"1,056",1,"",124,"A#","Major",61,41,81,5,2,10,3,"21","91","124","modern alternative rock, modern rock, pop","Rock, Pop","I Love You.","2013-04-19","04:00","61","81","5","2","40","0","10","-3","A#/B♭ Major","4","2023-08-14","2QjOHCTQ1Jl3zawyYOpxh6","Columbia","6B","https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048518265a736a1eb838ad5a0b921","High Popularity",50
"Viva La Vida","Coldplay",1,2008,1,1,33898,62,"1592909789",233,0,"4,095",9,"0",138,"F","Minor",49,42,62,9,0,11,3,"880","89","138","permanent wave, pop","Rock, Pop","Viva La Vida or Death and All His Friends","2008-05-26","04:02","49","62","10","0","42","0","10","-7","F Minor","4","2023-08-14","1mea3bSkSGXuIRvnydlB5b","Parlophone UK","4A","https://p.scdn.co/mp3-preview/fb9f4a9b0887326776b4fb7c6d331acd167a7778?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851e21cc1db05580b6f2d2a3b6e","Low Popularity",24
"Riptide","Vance Joy",1,1975,1,1,31123,55,"2009094673",300,65,"1,003",1,"0",102,"C#","Major",48,50,73,43,0,15,4,"553","86","102","folk-pop, modern rock","Pop, Rock","Dream Your Life Away","2014-09-08","03:24","48","73","43","0","51","0","10","-7","C♯/D♭ Major","4","2023-08-14","7yq4Qj7cqayVTp3FF9CWbm","F-Stop Records/Atlantic","3B","https://p.scdn.co/mp3-preview/74698d907d114f4ba0b2c129bbf260724be80b64?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851d3ce97395ff522b0d70c1094","Moderate Popularity",40
"Someone You Loved","Lewis Capaldi",1,2018,11,8,17836,53,"2887241814",440,125,"1,800",0,"",110,"C#","Major",50,45,41,75,0,11,3,"58","90","110","pop, uk pop","Pop","Divinely Uninspired To A Hellish Extent","2019-05-17","03:02","50","41","75","0","45","0","10","-6","C♯/D♭ Major","4","2023-08-14","7qEHsqek33rTcFNT9PFqLf","Vertigo Berlin","3B","","https://i.scdn.co/image/ab67616d00004851fc2101e6889d6ce9025f85f2","Moderate Popularity",59
"Lover","Taylor Swift",1,2012,1,1,8448,23,"882831184",160,110,"163",0,"5",206,"G","Major",43,50,55,50,0,15,10,"184","91","69","pop","Pop","Lover","2019-08-23","03:41","36","54","49","0","45","0","10","-8","G Major","4","2023-08-14","1dGr1c8CrMLDpV6mPbImSI","Taylor Swift","9B","","https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647","Moderate Popularity",44
"Mockingbird","Eminem",1,2004,1,1,12985,61,"1241559043",49,98,"2,394",5,"204",84,"E","Minor",62,24,67,21,0,13,28,"1099","90","84","detroit hip hop, hip hop, rap","Hip Hop","Encore (Deluxe Version)","2004-11-12","04:10","64","68","21","0","25","20","10","-4","C Major","4","2023-08-14","561jH07mF1jHuk7KlaeF0s","Aftermath","8B","","https://i.scdn.co/image/ab67616d00004851726d48d93d02e1271774f023","Low Popularity",55
"Dandelions","Ruth B.",1,2017,4,28,3423,21,"1116995633",41,100,"59",1,"32",117,"C#","Major",61,45,69,2,0,9,3,"33","90","117","alt z, canadian contemporary r&b, canadian pop, pop","Pop, R&B","Safe Haven","2017-05-05","03:53","61","69","2","0","45","0","0","-3","C♯/D♭ Major","3","2023-08-14","2eAvDnpXP5W0cVtiI0PUxV","Columbia","3B","https://p.scdn.co/mp3-preview/3e55602bc286bc1fad9347931327e649ff9adfa1?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485197e971f3e53475091dc8d707","Low Popularity",41
"Set Fire to the Rain","Adele",1,2011,1,1,14739,43,"1163620694",88,112,"2,163",5,"519",108,"D","Minor",61,47,68,0,0,13,3,"782","87","108","british soul, pop, pop soul, uk pop","R&B, Pop","21","2011-01-24","04:02","60","67","0","0","45","0","10","-4","D Minor","4","2023-08-14","3di5hcvxxciiqwMH1jarhY","XL Recordings","7A","https://p.scdn.co/mp3-preview/6fc68c105e091645376471727960d2ba3cd0ee01?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851164feb363334f93b6458d2a9","Low Popularity",53
