Country,Continent,Rank,Title,Artists,Collaboration,Collaboration.Type,Album.x,Explicit,Duration,X.,Artist,Popularity,BPM,Genres,Parent.Genres,Album.y,Album.Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time.Signature,Added.At,Spotify.Track.Id,Album.Label,Camelot,Spotify.Track.Img,Song.Preview
Global,Global,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",NO,Duet,Rain On Me (with Ariana Grande),0,3:02,84,"Lady Gaga,Ariana Grande",76,123,"art pop, dance pop, pop",Pop,Chromatica,2020,3:02,67,86,2,0,65,0,30,-4,A Major,4,8/14/2023,7ju97lgwC2rKQ6wwsf9no9,Interscope,11B,,https://i.scdn.co/image/ab67616d000048516040effba89b9b00a6f6743a
Global,Global,2,Blinding Lights,The Weeknd,YES,Solo,After Hours,0,3:20,27,The Weeknd,92,171,"canadian contemporary r&b, canadian pop, pop","R&B, Pop",After Hours,2020,3:20,51,73,0,0,33,0,0,-6,C♯/D♭ Major,4,8/14/2023,0VjIjW4GlUZAMYd2vXMi3b,Republic Records,3B,,https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36
Global,Global,3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",YES,Duet,BLAME IT ON BABY,1,3:01,55,"DaBaby,Roddy Ricch",79,90,"hip hop, north carolina hip hop, pop rap, rap, trap, melodic rap",Hip Hop,BLAME IT ON BABY,2020,3:01,75,69,25,0,50,10,10,-8,B Major,4,8/14/2023,7ytR5pFWmSjzHJIeQkgog4,South Coast Music Group/Interscope Records,1B,,https://i.scdn.co/image/ab67616d0000485120e08c8cc23f404d723b5647
Global,Global,4,Roses - Imanbek Remix,"SAINt JHN, Imanbek",NO,Duet,Roses (Imanbek Remix),1,2:56,53,"SAINt JHN,Imanbek",81,122,"melodic rap, slap house, electro house, pop dance","Electronic, Hip Hop",Roses (Imanbek Remix),2019,2:56,77,72,2,1,90,0,30,-5,G#/A♭ Major,4,8/14/2023,24Yi9hE78yPEbZ4kxyoXAI,Columbia/B1 Recordings,4B,https://p.scdn.co/mp3-preview/577cd73a377297f9b7fa57d809cd270dfce8513f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b340b496cb7c38d727ff40be
Global,Global,5,Toosie Slide,Drake,YES,Solo,Dark Lane Demo Tapes,1,4:07,64,Drake,71,82,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop",Dark Lane Demo Tapes,2020,4:07,83,49,29,0,85,20,10,-9,C♯/D♭ Minor,4,8/14/2023,466cKvZn1j45IpxDdYZqdA,OVO,12A,,https://i.scdn.co/image/ab67616d00004851bba7cfaf7c59ff0898acba1f
Global,Global,6,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",NO,Duet,death bed (coffee for your head) (feat. beabadoobee),0,2:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Global,Global,7,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",NO,Group,THE SCOTTS,1,2:45,91,"THE SCOTTS,Travis Scott,Kid Cudi",77,130,"viral rap, hip hop, rap, slap house, ohio hip hop, pop rap","Hip Hop, Electronic",THE SCOTTS,2020,2:45,72,54,23,0,28,0,10,-8,C Minor,4,8/14/2023,39Yp9wwQiSRIDOvrVg7mbk,Cactus Jack / Epic,5A,https://p.scdn.co/mp3-preview/820f8579b290d5454ca9f32fde6e06358d8a3950?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485111d6f8c713ef93a9bb64ddfe
Global,Global,8,Don't Start Now,Dua Lipa,NO,Solo,Future Nostalgia,0,3:03,54,Dua Lipa,84,124,"dance pop, pop, uk pop",Pop,Future Nostalgia,2020,3:03,79,79,1,0,68,0,10,-5,B Minor,4,8/14/2023,3PfIrDoz19wz7qK7tYeu62,Warner Records,10A,https://p.scdn.co/mp3-preview/cfc6684fc467e40bb9c7e6da2ea1b22eeccb211c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bd26ede1ae69327010d49946
Global,Global,8,Don't Start Now,Dua Lipa,NO,Solo,Future Nostalgia,0,3:03,118,Dua Lipa,79,124,"dance pop, pop, uk pop",Pop,Don't Start Now,2019,3:03,79,79,1,0,68,0,10,-5,B Minor,4,8/14/2023,6WrI0LAC5M1Rw2MnX2ZvEg,Warner Records,10A,https://p.scdn.co/mp3-preview/87258da8a9eb8d0a0d53071e06612955e6d3b28f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518583df1a14bea9175f9ac520
Global,Global,9,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",NO,Duet,Stuck with U,0,3:48,95,"Ariana Grande,Justin Bieber",82,179,"pop, canadian pop",Pop,Stuck with U,2020,3:48,60,45,22,0,54,0,30,-7,G#/A♭ Major,3,8/14/2023,4HBZA5flZLE435QTztThqH,Ariana Grande & Justin Bieber Stuck With U- Charity,4B,,https://i.scdn.co/image/ab67616d000048512babb9dbd8f5146112f1bf86
